,"[0, 0]","[0, 1]","[0, 2]","[1, 0]","[1, 1]","[1, 2]","[2, 0]","[2, 1]","[2, 2]"
1020100020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120100020000000,0.0,0.0,0.0,0.0,-0.012527345263620092,0.0,-0.01,0.0,0.0
1120100020200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010000000000000,-0.06352058057840046,-0.068436110568527,-0.06793465209301,-0.06946856844251768,-0.0645624725017241,-0.06168761042963961,-0.06225798538531027,-0.06704222321938248,-0.06276473807516024
0010020000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010020001000000,0.0,-0.023572410227325466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010020001200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0110020001200000,0.014141424584396704,-0.01,-0.01,0.0,0.0,-0.016768390521855647,-0.01,-0.01,-0.01
0110020021200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0110021021200000,-0.020701716693648963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0110221021200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000000100000,-0.06859620910105363,-0.057117887806562316,-0.05540293308377222,-0.05901363535487719,-0.07079275750189935,-0.06643850491271698,-0.046841392087126066,-0.05852870041062591,-0.0490099501
0000200000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000200000100000,0.0,0.0,0.0,0.0,0.0,-0.020137167989765458,0.0,0.0,0.0
1020200000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020201000100000,0.0,-0.018346544718435394,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
1020221000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000001000000,-0.04677331083150224,-0.040804224475241464,-0.042907662276953765,-0.042191277928823774,-0.06097084082449698,-0.057466815416444675,-0.05285830132998402,-0.03940399,-0.0400086901475182
2000000001000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000001100000,0.0,-0.025030118340360757,0.0,0.0,-0.010466131411490762,-0.01,-0.00024197410166207513,0.0,-0.01
2000002001100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100002001100000,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.0021510829294339065,-0.01,0.0
2120002001100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100001000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022864406264164604
2100001020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100001020100000,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01543615615687275,0.0
2100021020100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000010000000000,-0.03469822737184284,-0.06448836277705228,-0.06530281672081875,-0.05681567969896151,-0.03940399,-0.03752423272468561,-0.05243496493935057,-0.05288870350739139,-0.043802513384727966
0000012000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000012001000000,-0.01,0.0,-0.029045851104586844,-0.004698862600814554,0.0,0.0,0.0,0.0,0.0005240775266821954
0200012001000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0210012001000000,0.0,0.0,-0.01,-0.02107115453599086,-0.01,0.0,-0.01,0.0,0.0
0210012021000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0210112021000000,-0.026013771032087504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0210112021200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000001000000000,-0.052616299790743226,-0.07823511586153958,-0.0415404695249633,-0.0628400221337172,-0.04428038374724938,-0.029701,-0.025085865711015197,-0.026185508746143938,-0.04772177108068617
0000021000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000021000000000,0.0,-0.03013273539694435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
